DATE,OBS_1,OBS_2,OBS_3,OBS_4,OBS_5,OBS_6,OBS_7,OBS_8,OBS_9,OBS_10,OBS_11,OBS_12,OBS_13,OBS_14,OBS_15,OBS_16,OBS_17,OBS_18,OBS_19,OBS_20
1/1/2018,263400,347100,399900,406200,227000,265900,172500,158500,222600,353000,303700,267500,229700,226700,638800,709000,660500,770000,202700,147800
2/1/2018,263900,336700,391800,406900,225000,264100,173600,163100,219300,356300,302200,268300,245300,224900,643200,743100,671500,847700,205900,149100
3/1/2018,262000,339000,385300,403500,221700,262100,206400,154800,213600,346800,298000,266800,224500,221100,664700,796200,676700,941700,206300,134100
4/1/2018,262300,333600,404200,401600,220800,261500,195800,157500,209900,351700,298400,267200,224200,222000,673800,859600,682300,944000,205800,125200
5/1/2018,263400,333400,416300,401000,221400,260800,207000,162100,210000,411200,299700,268400,241600,220600,673600,851800,682600,948300,209600,125800
6/1/2018,262300,331100,408900,401700,220800,261000,206000,164400,210000,416800,298300,267400,224300,220600,659100,887700,664800,955600,211900,129300
7/1/2018,261900,330100,398900,416100,221200,258000,205500,215200,209500,419000,296900,267000,223100,219700,664300,902000,671000,957100,214500,132900
8/1/2018,263700,329500,393200,419200,220400,257900,205400,199000,210300,416700,298900,268700,241300,220400,681000,934500,661600,986900,212800,128000
9/1/2018,263900,328500,397000,415200,220700,256300,198800,199000,212800,394500,284300,269000,225500,220700,703200,953600,689500,1000000,214800,125800
10/1/2018,266700,334300,396200,415800,224100,260100,190900,195700,210700,398400,271000,271800,245100,223700,694100,950700,679800,1000000,216100,129900
11/1/2018,267500,341600,401300,415900,225500,262400,197200,196500,213100,411400,259800,272600,244000,224600,691200,906900,649600,992700,215600,132200
12/1/2018,268400,342500,401000,417900,226200,261700,199000,197400,209500,415500,259700,273500,230000,221600,688000,861600,659100,988400,214800,132700
1/1/2019,266700,344300,401300,414700,225700,264000,199800,196600,206000,415900,261400,271600,239100,218500,684400,877900,660200,983500,219200,131400
2/1/2019,266500,340700,401300,414700,225600,261200,190500,197200,205300,416800,261100,271400,229100,220200,691000,872900,677400,981600,219400,132200
3/1/2019,267600,339600,409200,411300,226700,261200,177800,198000,213100,406400,264900,272600,231500,221100,698100,874900,666700,1000000,216500,132200
4/1/2019,270900,341300,407900,413200,230500,268200,181200,199400,206900,402700,267500,276000,232100,221300,709300,882500,675700,1000000,219900,136100
5/1/2019,271700,341800,407200,413900,233400,275300,181800,199500,212700,412800,269400,276700,241300,225100,695100,864100,672000,1000000,217200,134100
6/1/2019,275300,343500,410400,416900,245600,281800,196400,201700,217100,410800,272400,280400,246000,229000,703200,894500,636000,1000000,219900,138700
7/1/2019,276800,345700,410900,418700,244000,280900,201600,202800,222500,370700,269700,282100,236300,229100,704800,942800,652500,1000000,218600,133600
8/1/2019,278000,339700,414200,419800,244200,283400,201800,203700,219300,353100,270500,283400,249400,230600,703100,955400,660400,1000000,216600,124400
9/1/2019,279300,340600,417400,422200,246200,282400,202500,204800,223900,340900,274500,284600,238400,232200,708100,953800,671400,1000000,215800,123400
10/1/2019,279200,336500,408200,422200,242100,281000,201100,205200,225500,340200,277300,284600,240100,234400,916400,918600,670800,1000000,219400,126600
11/1/2019,281100,336700,419200,424200,243000,278800,192500,206000,229900,347400,282400,286500,240800,234400,919200,908000,698200,979200,219500,119200
12/1/2019,281600,336800,427500,433300,244600,281600,193400,210600,231200,348100,291700,291400,246400,234400,915600,888700,675300,956800,222500,113600
1/1/2020,285200,360300,436600,431300,247900,286300,198400,209600,229500,349500,276100,290700,243900,233700,914400,887600,819100,1000000,221700,108600
2/1/2020,288700,360100,439100,438100,247200,286500,195100,212900,230300,353600,278300,294200,248400,236700,915000,886000,808000,1000000,222900,110800
3/1/2020,290000,362000,434100,437600,247700,289100,199300,212400,233600,353500,281500,295400,248300,239100,916600,878900,762300,1000000,226000,122500
4/1/2020,288700,364500,430100,435900,247200,287800,214200,212200,237100,357600,283500,294100,253500,239500,919200,867900,749800,1000000,227000,129000
5/1/2020,295400,362900,429900,446900,247700,288400,221100,216900,240900,358600,289200,300900,257700,239800,924900,851500,763300,1000000,229000,142100
6/1/2020,294400,360500,436200,443800,247600,290500,220900,215600,242800,357500,290600,299900,256000,239900,923800,847500,763700,1100000,230400,147400
7/1/2020,295500,360300,439900,446400,248700,289500,226200,216700,244000,365000,297100,301200,256600,238700,952000,829800,788300,1100000,233700,150900
8/1/2020,295500,359600,438300,445200,246900,290400,229100,216300,247000,363000,301100,301100,256800,241000,954800,842300,780900,1100000,242300,154400
9/1/2020,298700,359800,436500,451400,248900,284000,233000,219000,246300,368900,302800,304200,257500,242500,958500,879500,772800,969100,244200,150700
